Order Date	Source	No	Artist Name	Catalog Title	Format	Edition	Qty	UPC/Catalog No.	AEC Cat	Total Items Ordered	Weight/PCS (LB)	Weight/PCS (KG)	Total Weight (KG)	Shipping Cost	Forwarder Shipping (IDR)	Vendor Shipping (IDR)	Item Price/PCS
04/02/2026	Juno Records	1	Alex Turner	Submarine	CD Single	6-Track	2	RUG 398CD		77	0.20	0.0907	0.1814	€272.74			€4.52
04/02/2026	Juno Records	2	Oneohtrix Point Never	R Plus Seven	2xLP	Gatefold + MP3 Download	1	WARPLP 240			1.00	0.4536	0.4536				€21.18
04/02/2026	Juno Records	3	Cocteau Twins	Heaven Or Las Vegas (Remastered)	LP 180g	180 Gram Audiophile	2	CAD 3420			0.55	0.2495	0.4990				€18.52
04/02/2026	Juno Records	4	AIAIAI	AIAIAI Tracks Hi-Fi Headphones with One Button Mic	Headphones		1	AIAIAI 05601			1.20	0.5443	0.5443				€46.09
04/02/2026	Juno Records	5	Harry Styles	Harry Styles	CD		1	889854 36772			0.25	0.1134	0.1134				€8.83
04/02/2026	Juno Records	6	Zero 7	When It Falls	2xLP	Heavyweight Vinyl	1	NEW 9271LP			1.00	0.4536	0.4536				€25.63
04/02/2026	Juno Records	7	My Bloody Valentine	Loveless (Reissue)	LP	Gatefold Heavyweight + MP3 Download	1	REWIGLP 159			0.50	0.2268	0.2268				€22.18
04/02/2026	Juno Records	8	My Bloody Valentine	Loveless (Reissue)	2xCD		2	REWIGCD 159			0.45	0.2041	0.4082				€10.98
04/02/2026	Juno Records	9	Harry Styles	Harry's House	CD		1	196587 07272			0.25	0.1134	0.1134				€7.58
04/02/2026	Juno Records	10	Dijon	Absolutely	LP	Brown Vinyl	2	009362 4876687			0.50	0.2268	0.4536				€32.73
04/02/2026	Juno Records	11	Geese	3D Country	CD		1	PTPS 10CD			0.25	0.1134	0.1134				€9.69
04/02/2026	Juno Records	12	Olivia Dean	Messy	LP		2	EMIV 2093			0.50	0.2268	0.4536				€22.83
04/02/2026	Juno Records	13	Bosq/Kaleta	Meji Meji	12"		1	BAC 010			0.45	0.2041	0.2041				€12.91
04/02/2026	Juno Records	14	Air	Moon Safari (25th Anniversary Edition)	CD+Blu-ray	Limited 2xCD + Blu-ray	1	505419 7906770			0.50	0.2268	0.2268				€19.17
04/02/2026	Juno Records	15	AIAIAI	AIAIAI Tracks Headphones With One Button Mic	Headphones	B-Stock	1	AIAIAI 05601 (B-STOCK)			1.20	0.5443	0.5443				€43.93
04/02/2026	Juno Records	16	Cameron Winter	Heavy Metal	CD		1	PTPS 50CD			0.25	0.1134	0.1134				€9.69
04/02/2026	Juno Records	17	Vegyn/Air	Blue Moon Safari	CD		2	289970 6			0.25	0.1134	0.2268				€18.22
04/02/2026	Juno Records	18	Olivia Dean	The Art Of Loving	CD		5	781632 1			0.25	0.1134	0.5670				€9.26
04/02/2026	Juno Records	19	Olivia Dean	The Art Of Loving	LP		2	781633 2			0.50	0.2268	0.4536				€25.83
04/02/2026	Juno Records	20	Loaded Honey	Love Made Trees	LP	Die-Cut Sleeve	1	VET 001B			0.50	0.2268	0.2268				€20.89
04/02/2026	Juno Records	21	Geese	Getting Killed	CD		5	PTPS 60CD			0.25	0.1134	0.5670				€8.40
04/02/2026	Juno Records	22	Various Artists	Oriental Rare Groove: Rare Funky Songs From The Arabic World	2xLP		1	343112 6			1.00	0.4536	0.4536				€22.83
04/02/2026	Juno Records	23	Rosalia	Lux	CD		2	198029 90922			0.25	0.1134	0.2268				€10.55
04/02/2026	Juno Records	24	Oneohtrix Point Never	Tranquilizer	CD		1	WARPCD 411			0.25	0.1134	0.1134				€10.33
04/02/2026	Juno Records	25	Loaded Honey	Love Made Trees	LP	Transparent Orange Marbled Vinyl, Die-Cut Sleeve	1	VET 001			0.50	0.2268	0.2268				€20.89
04/02/2026	Juno Records	26	Daphni	Butterfly	CD		1	JIAOLONG 034CD			0.25	0.1134	0.1134				€9.26
04/02/2026	Juno Records	27	Robyn	Sexistential	CD		2	YO 467CD			0.25	0.1134	0.2268				€9.26
04/02/2026	Juno Records	28	Robyn	Sexistential	Cassette		1	YO 467MCE			0.15	0.0680	0.0680				€9.26
04/02/2026	Juno Records	29	Fcukers	O	LP	Spot-Varnished Sleeve (Indie Exclusive)	1	ZEN 324N			0.50	0.2268	0.2268				€19.60
04/02/2026	Juno Records	30	Fcukers	O	CD		2	ZENCD 324			0.25	0.1134	0.2268				€9.26
04/02/2026	Juno Records	31	Harry Styles	Kiss All The Time Disco Occasionally	CD		3	199584 17732			0.25	0.1134	0.3402				€11.84
04/02/2026	Juno Records	32	Harry Styles	Kiss All The Time Disco Occasionally	LP	Gatefold Neptune Vinyl + Booklet	2	199584 33991			0.50	0.2268	0.4536				€26.92
04/02/2026	Juno Records	33	Kangding Ray	Sirat (Soundtrack)	CD		1	INV 345CD			0.25	0.1134	0.1134				€10.55
04/02/2026	Juno Records	34	Avalon Emerson & The Charm	Written Into Changes	LP	Limited Translucent Red Vinyl	2	DOC 369LPC1			0.50	0.2268	0.4536				€19.60
04/02/2026	Juno Records	35	Avalon Emerson & The Charm	Written Into Changes	CD		2	DOC 369CD			0.25	0.1134	0.2268				€10.55
04/02/2026	Juno Records	36	Various Artists	Help (2)	2xLP	Gatefold + 1-Sided 7"	2	WARCHILD 16LP			1.00	0.4536	0.9072				€25.63
04/02/2026	Juno Records	37	Various Artists	Help (2)	2xCD	Unmixed	3	WARCHILD 16CD			0.45	0.2041	0.6123				€12.71
04/02/2026	Juno Records	38	James Blake	Trying Times	CD		2	870483 4653			0.25	0.1134	0.2268				€10.98
04/02/2026	Juno Records	39	James Blake	Trying Times	2xLP	Gatefold	1	870483 4592			1.00	0.4536	0.4536				€25.83
04/02/2026	Juno Records	40	James Blake	Trying Times	2xLP	Gatefold White Vinyl (Indie Exclusive)	1	870483 4639			1.00	0.4536	0.4536				€28.86
04/02/2026	Juno Records	41	Ye (Kanye West)	Bully	LP		2	YZYGAMMA 001			0.50	0.2268	0.4536				€20.89
